,username,description,totalTweet,tatalReTweet
0,AnurakLodge,Anurak Community Lodge is an eco-lodge nestled in the jungle-clad karst of South Thailand. We're Gold Standard #sustainability certified by #Travelife.,698,0
1,Zulfika17087598,Love to Travel,326,7
2,M_Wayne_Brown,I'm just a man doing the best that I can to faithfully follow Jesus.,26499,5
3,_septemberism_,• septemberism • Designer / Illustrator New to NFT please support ~♡ Thailand 🇹🇭 / Australia 🇦🇺,885,15
4,NorikoPak,(Display by @Pichi_Otakura) อิเมี้ยน คุณนุชของผลิต 🦋 ラルク/ハイド/VAMPS/X JAPAN/GLAY/Luna Sea/One Ok Rock/DeppHead/ ヒイリリ/ノクルナ/蔵ぼ/文スト/太中/ 3️⃣0️⃣歳以上 หวีดแลงมากเด้อ,352920,2
5,kookkai68,ก็ไม่ได้รู้สึกอะไรต่อกันแล้วไม่ใช่เหรอ 👌🏻💪🏻👍🏻,184268,23
6,Bubble0327,bts & blackpink ꒰🐥യ  lalalalisa_m🎀 ꒱,5421,11
7,Bubble0327,bts & blackpink ꒰🐥യ  lalalalisa_m🎀 ꒱,5421,23
8,jinchicha,red. revolution-evolution-drop in the ocean,1931,7
9,KKGPST,,620604,7
